pathway,ES_Py,NES_Py,Pvalue_Py,ES_R,NES_R,Pvalue_R,Regime,log10P_Py,log10P_R
NULL_PATH_27,0.13672533086599908,0.6486904844439683,1.0,0.136725330865999,0.648780041748641,1.0,Synthetic small,-0.0,-0.0
POS_PATH_1,0.7093672260935202,2.6304686738100456,1.1168301833392557e-10,0.70936722609352,2.61790933611652,3.56794866208683e-10,Synthetic medium,9.95201285736369,9.447581403156006
NEG_PATH_7,-0.6488788905882028,-2.4497243551913126,2.8311308846689618e-08,-0.648878890588203,-2.44360699673197,4.45952112167187e-08,Synthetic medium,7.5480400525086,7.350711774781467
NEG_PATH_6,-0.632743511096793,-2.388262745505218,3.170866590829237e-08,-0.632743511096793,-2.42852799587316,5.49509623663085e-08,Synthetic medium,7.4988220298384185,7.260024697294767
NEG_PATH_9,-0.7062337577762744,-2.4091774524070693,1.671195020030031e-07,-0.706233757776274,-2.36780213762526,2.84090152156335e-07,Synthetic medium,6.776972867173691,6.546543820618103
POS_PATH_0,0.6159823239248655,2.2841796845171047,1.16138455542198e-06,0.615982323924866,2.27327372532582,1.71362483202712e-06,Synthetic medium,5.9350239536941265,5.7660842531332435
NEG_PATH_2,-0.653322573561038,-2.299263312144938,1.4118792634541717e-06,-0.653322573561038,-2.30114298585287,1.59900677401331e-06,Synthetic medium,5.850202440293809,5.796149696409882
POS_PATH_7,0.6716326950070928,2.2969644387688346,1.7534629562253424e-06,0.671632695007093,2.27085601082222,9.00984162783804e-07,Synthetic medium,5.756103404619581,6.045282842845634
NEG_PATH_1,-0.5586631209310932,-2.1820155713595426,4.644207432983552e-06,-0.558663120931093,-2.15470421946397,5.71609217580581e-06,Synthetic medium,5.33308839078785,5.242900776535886
NEG_PATH_8,-0.5980716839645669,-2.2101234158622254,5.18007752140473e-06,-0.598071683964567,-2.20142457210403,7.15615477980556e-06,Synthetic medium,5.285663740859713,5.145320274688159
POS_PATH_3,0.5838158071871847,2.2046003173488797,5.53732424701885e-06,0.583815807187185,2.1623053039892,5.09368234429949e-06,Synthetic medium,5.256700044924396,5.292968142297305
NEG_PATH_4,-0.6738826624576009,-2.1751466669179678,1.149668996890537e-05,-0.673882662457601,-2.19469682068175,1.53222909277005e-05,Synthetic medium,4.9394271800950875,4.814676295873419
POS_PATH_2,0.6365253087814265,2.1420070907583373,9.616368481268935e-05,0.636525308781427,2.05704510010949,6.26239826706493e-05,Synthetic medium,4.016988903669566,4.203259316200338
POS_PATH_6,0.5788211747785468,1.9795517174140573,0.00038792516016776887,0.578821174778547,1.95705115862944,0.0001826284505399,Synthetic medium,3.411252051883142,3.7384315655201714
POS_PATH_9,0.5774758090912322,1.9432963006339474,0.0010988064262746876,0.577475809091232,1.86621610662584,0.0009248858762852,Synthetic medium,2.959078809310199,3.0339118525121336
NEG_PATH_0,-0.49694821845850146,-1.8232712614153395,0.0013523771400303847,-0.496948218458501,-1.80263788201064,0.0012960505543365,Synthetic medium,2.868902178961111,2.8873780578472386
NULL_PATH_220,-0.5036440291078935,-1.7891712538391842,0.002845626898813934,-0.503644029107893,-1.78501053690006,0.002904937569566,Synthetic medium,2.5458220425540556,2.536863196658963
NEG_PATH_5,-0.5029901641975658,-1.7566973506492007,0.0030548641707855467,-0.502990164197566,-1.79678323684097,0.0025707546248045,Synthetic medium,2.515008095139836,2.5899393742241132
POS_PATH_5,0.4984491638266983,1.7691652688152295,0.003222253988362837,0.498449163826698,1.7446682634948,0.0024318474775764,Synthetic medium,2.49184023008781,2.6140636669503414
POS_PATH_4,0.5685575855189411,1.8213351966831277,0.003305948897151482,0.568557585518941,1.81162681119789,0.0024026560345565,Synthetic medium,2.4807038639698504,2.6193083985620547
NULL_PATH_49,-0.3360068240263053,-1.5656991143293262,0.004475216005228141,-0.336006824026305,-1.56682275598338,0.0020493576588033,Synthetic medium,2.3491859977526173,2.6883822408717806
POS_PATH_8,0.5994113083327315,1.898575873805469,0.008056640625,0.599411308332732,1.87516734570344,0.0029475145173438,Synthetic medium,2.093846008089887,2.5305440472042804
