window_size,step,runtime_s,PathwayDisplay,pt_mid,NES,padj,window_id
1000,20,7.250539064407349,E2F Targets,0.56570995,-2.357925883985995,0.18452322314286881,71
1000,20,7.250539064407349,E2F Targets,0.56648713,-2.255898161100531,0.23526710950715773,72
1000,20,7.250539064407349,E2F Targets,0.56722987,-2.214214995027695,0.2825042196850211,73
1000,20,7.250539064407349,E2F Targets,0.5677071,-2.1354235514192372,0.333453363782444,74
1000,20,7.250539064407349,E2F Targets,0.56838226,-2.1062568296445403,0.3338686232641158,75
1000,20,7.250539064407349,E2F Targets,0.5691612,-2.005466916415051,0.37118094308035715,76
1000,20,7.250539064407349,E2F Targets,0.56974727,-1.9834991570184817,0.508845533975023,77
1000,20,7.250539064407349,E2F Targets,0.5703981,-1.8870613244747216,0.5938895089285714,78
1000,20,7.250539064407349,E2F Targets,0.57110775,-1.8209919916787989,0.6317354090073529,79
1000,20,7.250539064407349,E2F Targets,0.571843,-1.8274434426312136,0.583514221294831,80
1000,20,7.250539064407349,E2F Targets,0.57266355,-1.6859837993861948,0.6557529994419643,81
1000,20,7.250539064407349,E2F Targets,0.5733037,-1.4874045674034886,0.7278645833333334,82
1000,20,7.250539064407349,E2F Targets,0.5737774,1.6748958738584125,0.6768215283066769,83
1000,20,7.250539064407349,E2F Targets,0.5745177,1.7953771013273583,0.6816957535282258,84
1000,20,7.250539064407349,E2F Targets,0.5751319,1.7563097439281043,0.6521139705882353,85
1000,20,7.250539064407349,E2F Targets,0.5758145,1.8496594176834684,0.6910714285714286,86
1000,20,7.250539064407349,E2F Targets,0.57634175,1.8663265794660422,0.6603927612304688,87
1000,20,7.250539064407349,E2F Targets,0.5769645,2.1083577593529004,0.5826416015625,88
1000,20,7.250539064407349,E2F Targets,0.5776467,2.1627149520563655,0.53697509765625,89
1000,20,7.250539064407349,E2F Targets,0.57837635,2.1856512581556427,0.5323287632865126,90
1000,20,7.250539064407349,E2F Targets,0.57898366,2.347616024007658,0.43304443359375,91
1000,20,7.250539064407349,E2F Targets,0.57965815,2.7075113132020157,0.115478515625,92
1000,20,7.250539064407349,E2F Targets,0.58041453,2.8019424993758357,0.23095703125,93
1000,20,7.250539064407349,E2F Targets,0.5812403,2.8902122693240666,0.069287109375,94
1000,20,7.250539064407349,E2F Targets,0.5820931,3.050089395767011,0.08196275239204873,95
1000,20,7.250539064407349,E2F Targets,0.58291996,3.2758211160816035,0.00799287465429007,96
1000,20,7.250539064407349,E2F Targets,0.58359694,3.4336463595872595,0.0008948527332145444,97
1000,20,7.250539064407349,E2F Targets,0.5844836,3.474573967504722,0.0004744491471647408,98
1000,20,7.250539064407349,E2F Targets,0.5852385,3.602731855462521,0.0001357449129926322,99
1000,20,7.250539064407349,E2F Targets,0.5859046,3.6097344281789803,0.00017857870696635794,100
1000,20,7.250539064407349,E2F Targets,0.58659136,3.6670370391989864,0.00012992727386437655,101
1000,20,7.250539064407349,E2F Targets,0.587296,3.746517342908342,1.1859477078415738e-05,102
1000,20,7.250539064407349,E2F Targets,0.5879109,3.8104634330346068,2.4190961577068356e-06,103
1000,20,7.250539064407349,E2F Targets,0.588656,3.866106472191955,3.1193608349377618e-06,104
1000,20,7.250539064407349,E2F Targets,0.5893234,3.9190341727814553,5.983272768260988e-07,105
1000,20,7.250539064407349,E2F Targets,0.59044826,3.9726980870510866,3.237524306113823e-07,106
1000,20,7.250539064407349,E2F Targets,0.59145045,3.962377416796845,1.8831119569713333e-07,107
1000,20,7.250539064407349,E2F Targets,0.59225076,3.9415708824731155,3.1145803451221583e-07,108
1000,20,7.250539064407349,E2F Targets,0.5933372,3.963617517488638,1.1588381273669743e-07,109
