Pathway,ES,NES,P-value,log2err,Size,n_levels,padj,pval_capped,window_id,pt_start,pt_end,pt_mid
E2F Targets,0.7625467621564959,3.9753571013968383,1.3006779054291127e-09,0.0995037190209989,56,,2.7964574966725925e-08,False,135,0.5898549,0.6064537,0.5981543
E2F Targets,0.7739000234598304,4.034544642654751,2.654114082759169e-10,0.0995037190209989,56,,5.706345277932214e-09,False,136,0.59060925,0.6078607,0.59923494
E2F Targets,0.8022231543958815,4.18220058362551,1.1297912296306038e-11,0.0995037190209989,56,,2.4290511437057976e-10,False,137,0.591067,0.6092897,0.60017836
E2F Targets,0.7968430910493832,4.154152896464683,1.663874356365071e-11,0.0995037190209989,56,,3.577329866184902e-10,False,138,0.59184414,0.6102418,0.601043
E2F Targets,0.8022702289470247,4.182445995658541,5.237609482616154e-12,0.0995037190209989,56,,1.1260860387624731e-10,False,139,0.59254616,0.611983,0.6022646
E2F Targets,0.7985753879405503,4.163183816389585,8.816642629070517e-12,0.0995037190209989,56,,1.8955781652501608e-10,False,140,0.5934515,0.61417985,0.6038157
E2F Targets,0.7975504458279946,4.157840523220068,7.468214932859732e-12,0.0995037190209989,56,,1.6056662105648424e-10,False,141,0.5940377,0.6154718,0.60475475
E2F Targets,0.8040528088561335,4.191739054198902,1.232499523233386e-11,0.0995037190209989,56,,2.6498739749517797e-10,False,142,0.5946534,0.61672604,0.60568976
E2F Targets,0.8153711079796104,4.250744328405303,2.2215761409433296e-12,0.0995037190209989,56,,4.776388703028159e-11,False,143,0.595849,0.6185356,0.6071923
E2F Targets,0.8235497971047147,4.293381988817961,6.077486014300069e-14,0.0995037190209989,56,,1.3066594930745145e-12,False,144,0.5968885,0.61990666,0.6083976
E2F Targets,0.8187528739372305,4.26837436499069,9.08112453652932e-13,0.0995037190209989,56,,1.952441775353804e-11,False,145,0.59812623,0.6212248,0.6096755
E2F Targets,0.8253333620458332,4.302680182589614,6.608541123117877e-13,0.0995037190209989,56,,1.4208363414703436e-11,False,146,0.5989675,0.6231707,0.6110691
E2F Targets,0.819431431738516,4.271911865519077,9.08112453652932e-13,0.0995037190209989,56,,1.952441775353804e-11,False,147,0.5998945,0.62519085,0.6125427
E2F Targets,0.8248745558371027,4.3002883049887135,2.1792562361948659e-13,0.0995037190209989,56,,4.685400907818961e-12,False,148,0.6008861,0.6280446,0.61446536
E2F Targets,0.8080797191712997,4.212732398230437,2.6035545484250318e-11,0.0995037190209989,56,,5.597642279113817e-10,False,149,0.60166025,0.63179284,0.6167265
E2F Targets,0.8115371016008489,4.230756643398935,1.2941244993950551e-11,0.0995037190209989,56,,2.7823676736993685e-10,False,150,0.6024046,0.6342901,0.61834735
E2F Targets,0.8101158019623766,4.223347034058998,1.088707912189491e-11,0.0995037190209989,56,,2.340722011207406e-10,False,151,0.6032459,0.63678354,0.6200147
E2F Targets,0.8143488651526352,4.245415107322421,2.6711808361342384e-12,0.0995037190209989,56,,5.7430387976886125e-11,False,152,0.6039783,0.6414368,0.62270755
E2F Targets,0.8068417110012903,4.20627833558867,4.511551631707097e-11,0.0995037190209989,56,,9.699836008170256e-10,False,153,0.6047596,0.652235,0.62849724
E2F Targets,0.8052615198274145,4.198040382827758,3.173082105893008e-11,0.0995037190209989,56,,6.822126527669967e-10,False,154,0.6057908,0.6650689,0.63542986
E2F Targets,0.7871168512010832,4.103447446556952,4.755597502161381e-10,0.0995037190209989,56,,6.8163564197646485e-09,False,155,0.60648346,0.68365765,0.64507055
E2F Targets,0.7642362447144135,3.984164818926594,2.6423888256910307e-08,0.0995037190209989,56,,3.787423983490478e-07,False,156,0.6079155,0.71014744,0.6590315
E2F Targets,0.7343840745619162,3.828537593820782,5.225718174087718e-07,0.0995037190209989,56,,7.490196049525729e-06,False,157,0.6093667,0.7469485,0.67815757
E2F Targets,0.6779869466426673,3.5345245127893525,9.753745173858492e-05,0.0995037190209989,56,,0.0010485276061897,False,158,0.61032885,0.81340647,0.7118677
heme Metabolism,-0.4503983765500944,-2.577021728000389,0.169189453125,0.125,75,,0.488491712616022,False,0,0.0,0.22408944,0.11204472
