level	axis	protein_name	left_out_unit	n_units_remaining	spearman_refit	direction_preserved
guide	immune_evasion_antigen_presentation	HLA_A	DDX39A_2	740	0.5655851640895441	True
guide	immune_evasion_antigen_presentation	HLA_A	DDX39A_3	740	0.5651457026430319	True
guide	immune_evasion_antigen_presentation	HLA_A	DLL3_1	740	0.5644194363373909	True
guide	immune_evasion_antigen_presentation	HLA_A	DLL3_2	740	0.5648610299418647	True
guide	immune_evasion_antigen_presentation	HLA_A	DLL3_3	740	0.5649432660899081	True
guide	immune_evasion_antigen_presentation	HLA_A	DNMT1_1	740	0.5663870923895139	True
guide	immune_evasion_antigen_presentation	HLA_A	DNMT1_3	740	0.5633286598602459	True
guide	immune_evasion_antigen_presentation	HLA_A	E2F1_1	740	0.5633173179644229	True
guide	immune_evasion_antigen_presentation	HLA_A	E2F1_2	740	0.5636507341656548	True
guide	immune_evasion_antigen_presentation	HLA_A	E2F1_3	740	0.5649577766093684	True
guide	immune_evasion_antigen_presentation	HLA_A	EEA1_1	740	0.5652166561218623	True
guide	immune_evasion_antigen_presentation	HLA_A	EEA1_2	740	0.565365314913068	True
guide	immune_evasion_antigen_presentation	HLA_A	EEA1_3	740	0.5637335329664936	True
guide	immune_evasion_antigen_presentation	HLA_A	EEF1G_2	740	0.5652428638968059	True
guide	immune_evasion_antigen_presentation	HLA_A	EIF3K_1	740	0.5649334048593361	True
guide	immune_evasion_antigen_presentation	HLA_A	EIF3K_2	740	0.5636713154126444	True
guide	immune_evasion_antigen_presentation	HLA_A	EIF3K_3	740	0.5634332836668853	True
guide	immune_evasion_antigen_presentation	HLA_A	EIF4A1_1	740	0.5634203426525911	True
guide	immune_evasion_antigen_presentation	HLA_A	EIF4A1_3	740	0.5689412103342735	True
guide	immune_evasion_antigen_presentation	HLA_A	EMP1_1	740	0.565151536464121	True
guide	immune_evasion_antigen_presentation	HLA_A	EMP1_2	740	0.5652762380915647	True
guide	immune_evasion_antigen_presentation	HLA_A	EMP1_3	740	0.5652088678226418	True
guide	immune_evasion_antigen_presentation	HLA_A	ENPP1_1	740	0.5651189618285979	True
guide	immune_evasion_antigen_presentation	HLA_A	ENPP1_2	740	0.5635464361053706	True
guide	immune_evasion_antigen_presentation	HLA_A	ENPP1_3	740	0.5654430794520532	True
guide	immune_evasion_antigen_presentation	HLA_A	EVA1A_1	740	0.5635348276898023	True
guide	immune_evasion_antigen_presentation	HLA_A	EVA1A_2	740	0.5656400967703581	True
guide	immune_evasion_antigen_presentation	HLA_A	EVA1A_3	740	0.5652319365872531	True
guide	immune_evasion_antigen_presentation	HLA_A	FBL_2	740	0.5651736279896667	True
guide	immune_evasion_antigen_presentation	HLA_A	FBL_3	740	0.5645593295903103	True
guide	immune_evasion_antigen_presentation	HLA_A	FBXO32_1	740	0.5643110516410139	True
guide	immune_evasion_antigen_presentation	HLA_A	FBXO32_2	740	0.5648632509397412	True
guide	immune_evasion_antigen_presentation	HLA_A	FBXO32_3	740	0.5659657542856745	True
guide	immune_evasion_antigen_presentation	HLA_A	FGFR1_1	740	0.565631301618767	True
guide	immune_evasion_antigen_presentation	HLA_A	FGFR1_2	740	0.5647949922716677	True
guide	immune_evasion_antigen_presentation	HLA_A	FGFR1_3	740	0.5652756458254642	True
guide	immune_evasion_antigen_presentation	HLA_A	FKBP4_1	740	0.5644311928194843	True
guide	immune_evasion_antigen_presentation	HLA_A	FKBP4_2	740	0.5660102926964261	True
guide	immune_evasion_antigen_presentation	HLA_A	FKBP4_3	740	0.5648663011101583	True
guide	immune_evasion_antigen_presentation	HLA_A	FMN1_1	740	0.5661287755298153	True
guide	immune_evasion_antigen_presentation	HLA_A	FMN1_2	740	0.5652046923466338	True
guide	immune_evasion_antigen_presentation	HLA_A	FMN1_3	740	0.5650885785776463	True
guide	immune_evasion_antigen_presentation	HLA_A	FOS_1	740	0.5652786663825764	True
guide	immune_evasion_antigen_presentation	HLA_A	FOS_2	740	0.5658512396351582	True
guide	immune_evasion_antigen_presentation	HLA_A	FOS_3	740	0.56507267623285	True
guide	immune_evasion_antigen_presentation	HLA_A	FOXM1_1	740	0.5651501150254801	True
guide	immune_evasion_antigen_presentation	HLA_A	FOXM1_2	740	0.5646541810062927	True
guide	immune_evasion_antigen_presentation	HLA_A	FOXM1_3	740	0.565403338396715	True
guide	immune_evasion_antigen_presentation	HLA_A	FRZB_1	740	0.5651524248632717	True
guide	immune_evasion_antigen_presentation	HLA_A	FRZB_2	740	0.56437602323223	True
guide	immune_evasion_antigen_presentation	HLA_A	FRZB_3	740	0.5683770176470127	True
guide	immune_evasion_antigen_presentation	HLA_A	FSTL3_1	740	0.5649021628225388	True
guide	immune_evasion_antigen_presentation	HLA_A	FSTL3_2	740	0.5646961726728126	True
guide	immune_evasion_antigen_presentation	HLA_A	FSTL3_3	740	0.5638652233339222	True
guide	immune_evasion_antigen_presentation	HLA_A	FTH1_1	740	0.5678471467802712	True
guide	immune_evasion_antigen_presentation	HLA_A	GAA_1	740	0.5643444850623827	True
guide	immune_evasion_antigen_presentation	HLA_A	GAA_2	740	0.5636889353291319	True
guide	immune_evasion_antigen_presentation	HLA_A	GAA_3	740	0.5656910612682994	True
guide	immune_evasion_antigen_presentation	HLA_A	GAS5_1	740	0.5648105392568038	True
guide	immune_evasion_antigen_presentation	HLA_A	GAS5_2	740	0.5648733786900584	True
guide	immune_evasion_antigen_presentation	HLA_A	GAS5_3	740	0.5642539571889333	True
guide	immune_evasion_antigen_presentation	HLA_A	GPATCH4_1	740	0.5656350328951995	True
guide	immune_evasion_antigen_presentation	HLA_A	GPATCH4_2	740	0.5637013136906307	True
guide	immune_evasion_antigen_presentation	HLA_A	GPATCH4_3	740	0.5671983488805652	True
guide	immune_evasion_antigen_presentation	HLA_A	GPI_2	740	0.5690514606688668	True
guide	immune_evasion_antigen_presentation	HLA_A	GPNMB_1	740	0.5651828377275282	True
guide	immune_evasion_antigen_presentation	HLA_A	GPNMB_2	740	0.5653205099825711	True
guide	immune_evasion_antigen_presentation	HLA_A	GPNMB_3	740	0.5651573406719053	True
guide	immune_evasion_antigen_presentation	HLA_A	GRN_1	740	0.5654656151771742	True
guide	immune_evasion_antigen_presentation	HLA_A	GRN_2	740	0.5651681495282378	True
guide	immune_evasion_antigen_presentation	HLA_A	GRN_3	740	0.5651827192743082	True
guide	immune_evasion_antigen_presentation	HLA_A	GSEC_1	740	0.5643409018524751	True
guide	immune_evasion_antigen_presentation	HLA_A	GSEC_2	740	0.5643917182838912	True
guide	immune_evasion_antigen_presentation	HLA_A	GSEC_3	740	0.5651734503098366	True
guide	immune_evasion_antigen_presentation	HLA_A	GSN_1	740	0.5651939723302162	True
guide	immune_evasion_antigen_presentation	HLA_A	GSN_2	740	0.5651240553170616	True
