family_id	trajectory	contrast	effect_type	delta_auc	bootstrap_mean	bootstrap_sd	ci_lower	ci_upper	direction_stability	bootstrap_p	n_blocks	claim_stability	block_source
INFLAMMATORY_INTERFERON_FAMILY	mk	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	-0.17794209011690645	-0.175112131255406	0.07736201895342265	-0.32865145730445616	-0.029877643593144067	0.994	0.006993006993006993	21	False	condition-matched day x pseudotime_bin x coarse_state block means
INFLAMMATORY_INTERFERON_FAMILY	mk	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.03482890890489109	-0.03387611656482436	0.01927041875461949	-0.07098808683444481	0.0011222269548831346	0.97	0.030969030969030968	21	False	condition-matched day x pseudotime_bin x coarse_state block means
INFLAMMATORY_INTERFERON_FAMILY	mk	NA	T21	-0.14606678897594366	-0.14856750283139483	0.07291923266766313	-0.30134238750100434	-0.014043966378819687	0.987	0.013986013986013986	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
INFLAMMATORY_INTERFERON_FAMILY	mk	NA	GATA1s	-0.0497806810846384	-0.05201323600941217	0.09468426043429955	-0.24764291106809805	0.11693537537888146	0.687	0.31368631368631367	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
INFLAMMATORY_INTERFERON_FAMILY	mk	NA	interaction	0.008818719654745753	0.0033592353666824196	0.08569836084483623	-0.1644085343614017	0.17680417311435245	0.519	0.48151848151848153	21	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
INFLAMMATORY_INTERFERON_FAMILY	myeloid	Euploid_GATA1s_vs_Euploid_wtGATA1	pairwise_contrast	-0.11369348154262214	-0.10526073043169645	0.13273940862477396	-0.39446686583289986	0.12188203631344909	0.759	0.24175824175824176	23	False	condition-matched day x pseudotime_bin x coarse_state block means
INFLAMMATORY_INTERFERON_FAMILY	myeloid	T21_wtGATA1_vs_Euploid_wtGATA1	pairwise_contrast	-0.19633626524806783	-0.19931236304161304	0.09837784956804954	-0.39762748391912867	-0.022371885227852856	0.985	0.015984015984015984	23	False	condition-matched day x pseudotime_bin x coarse_state block means
INFLAMMATORY_INTERFERON_FAMILY	myeloid	T21_GATA1s_vs_T21_wtGATA1	pairwise_contrast	-0.057099366975197186	-0.056968561893405704	0.014805673709510626	-0.0847703575512951	-0.026152257239871367	1.0	0.000999000999000999	22	True	condition-matched day x pseudotime_bin x coarse_state block means
INFLAMMATORY_INTERFERON_FAMILY	myeloid	NA	T21	-0.1597232897090977	-0.15774340357249078	0.09119067296742925	-0.35574204188222547	-0.004829647022574257	0.978	0.022977022977022976	22	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
INFLAMMATORY_INTERFERON_FAMILY	myeloid	NA	GATA1s	-0.07013403006222223	-0.06924638302153935	0.11129729293995519	-0.30356584113010665	0.12404226713699956	0.715	0.2857142857142857	22	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
INFLAMMATORY_INTERFERON_FAMILY	myeloid	NA	interaction	0.00778108065864252	0.009685909135941724	0.11045991321775511	-0.1633912037809275	0.2497233716846106	0.497	0.5034965034965035	22	False	factorial WLS beta from day x pseudotime_bin x coarse_state condition block means
